grade,car_model,car_use_cond,price,mileage,year,car_id,car_location,indi_car_link,car_type,fuel_type,gear_type
D,1997 Lexus Es,Nigerian Used,"₦ 671,000","Mileage:  233,303 Km",Year: 1997,Car ID: NG-425515,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-es-1997-automatic-ng-425515?filter=,Sedan,Petrol,automatic
D,2004 Toyota Camry,Nigerian Used,"₦ 1,371,600","Mileage:  201,786 Km",Year: 2004,Car ID: NG-425618,"Filsadex Autos Retail Outlet Ikeja
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2004-automatic-ng-425618?filter=,Sedan,Petrol,automatic
C,2010 Toyota Camry,Nigerian Used,"₦ 1,881,000","Mileage:  105,944 Km",Year: 2010,Car ID: NG-425657,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2010-automatic-ng-425657?filter=,Sedan,Petrol,automatic
D,2010 Toyota Corolla,Foreign Used,"₦ 2,321,000","Mileage:  148,032 Km",Year: 2010,Car ID: NG-425465,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2010-automatic-ng-425465?filter=,About,Us,Terms
D,2005 Nissan Xterra,Nigerian Used,"₦ 1,221,000","Mileage:  137,827 Km",Year: 2005,Car ID: NG-425561,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-xterra-2005-automatic-ng-425561?filter=,Mpv,Petrol,automatic
E,2000 Nissan Pathfinder,Nigerian Used,"₦ 671,000","Mileage:  304,871 Km",Year: 2000,Car ID: NG-425557,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-pathfinder-2000-automatic-ng-425557?filter=,Suv,Petrol,automatic
E,2008 Toyota Sienna,Foreign Used,"₦ 2,321,000","Mileage:  321,661 Km",Year: 2008,Car ID: NG-425559,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-sienna-2008-automatic-ng-425559?filter=,Mpv,Petrol,automatic
C,2005 Toyota Corolla,Foreign Used,"₦ 1,991,000","Mileage:  115,565 Km",Year: 2005,Car ID: NG-425486,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2005-automatic-ng-425486?filter=,Sedan,Petrol,automatic
E,2011 Ford Explorer,Nigerian Used,"₦ 4,631,000","Mileage:  70,255 Km",Year: 2011,Car ID: NG-425454,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/ford-explorer-2011-ng-425454?filter=,Suv,Petrol,automatic
C,2007 Toyota Corolla,Foreign Used,"₦ 1,661,000","Mileage:  94,723 Km",Year: 2007,Car ID: NG-425595,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2007-ng-425595?filter=,Sedan,Petrol,automatic
B,2013 Toyota Avalon,Foreign Used,"₦ 6,061,000","Mileage:  92,527 Km",Year: 2013,Car ID: NG-425147,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-avalon-2013-automatic-ng-425147?filter=,Sedan,Petrol,automatic
C,2003 Toyota Camry,Foreign Used,"₦ 1,991,000","Mileage:  184,476 Km",Year: 2003,Car ID: NG-425490,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/toyota-camry-2003-automatic-ng-425490?filter=,Sedan,Petrol,automatic
D,2006 Toyota Corolla,Nigerian Used,"₦ 1,166,000","Mileage:  173,107 Km",Year: 2006,Car ID: NG-425525,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2006-automatic-ng-425525?filter=,Sedan,Petrol,automatic
C,2005 Toyota Camry,Foreign Used,"₦ 1,551,000","Mileage:  115,533 Km",Year: 2005,Car ID: NG-425466,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2005-automatic-ng-425466?filter=,Sedan,Petrol,automatic
C,2009 Toyota Camry,Foreign Used,"₦ 2,321,000","Mileage:  364,581 Km",Year: 2009,Car ID: NG-425398,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2009-automatic-ng-425398?filter=,Sedan,Petrol,automatic
E,2006 Mercedes-Benz R350,Foreign Used,"₦ 1,771,000","Mileage:  177,528 Km",Year: 2006,Car ID: NG-425500,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-r350-2006-automatic-ng-425500?filter=,Suv,Petrol,automatic
C,2006 Bentley Continental,Nigerian Used,"₦ 13,211,000","Mileage:  6,638 Km",Year: 2006,Car ID: NG-425516,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/bentley-continental-2006-automatic-ng-425516?filter=,Sedan,Petrol,automatic
E,2014 Honda Accord,Foreign Used,"₦ 3,861,000","Mileage:  97,689 Km",Year: 2014,Car ID: NG-425236,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-accord-2014-automatic-ng-425236?filter=,Sedan,Petrol,automatic
D,1998 Toyota Land Cruiser,Nigerian Used,"₦ 627,000","Mileage:  117,293 Km",Year: 1998,Car ID: NG-425527,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-land-cruiser-1998-ng-425527?filter=,Suv,Petrol,duplex
D,2001 Mercedes-Benz C180,Nigerian Used,"₦ 1,001,000","Mileage:  231,231 Km",Year: 2001,Car ID: NG-425526,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/mercedes-benz-c180-2001-automatic-ng-425526?filter=,Sedan,Petrol,automatic
E,2008 Honda City,Nigerian Used,"₦ 561,000","Mileage:  160,691 Km",Year: 2008,Car ID: NG-425567,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-city-2008-manual-ng-425567?filter=,Sedan,Petrol,manual
